Injection,Q
1,-4.23796E-006
2,-4.64654E-006
3,-4.62515E-006
4,-4.61623E-006
5,-4.59755E-006
6,-4.58919E-006
7,-4.55893E-006
8,-4.57201E-006
9,-4.53755E-006
10,-4.52086E-006
11,-4.49266E-006
12,-4.44052E-006
13,-4.37494E-006
14,-4.29563E-006
15,-4.2436E-006
16,-4.00771E-006
17,-3.53082E-006
18,-2.79695E-006
19,-1.74061E-006
20,-9.02619E-007
21,-6.11417E-007
22,-4.9886E-007
23,-3.94769E-007
24,-3.92747E-007
25,-3.66951E-007
26,-3.22791E-007
27,-2.43365E-007
28,-2.64682E-007
29,-2.04143E-007
30,-1.88425E-007
