Injection,Q
1,-3.50179E-006
2,-3.83236E-006
3,-3.76083E-006
4,-3.72428E-006
5,-3.71691E-006
6,-4.01694E-006
7,-4.03555E-006
8,-4.10917E-006
9,-4.12891E-006
10,-4.20006E-006
11,-4.2092E-006
12,-4.26063E-006
13,-4.27994E-006
14,-4.26219E-006
15,-4.22257E-006
16,-4.17742E-006
17,-4.19525E-006
18,-3.98832E-006
19,-3.79381E-006
20,-3.22068E-006
21,-2.16883E-006
22,-1.09436E-006
23,-7.47689E-007
24,-6.23768E-007
25,-5.68573E-007
26,-5.42382E-007
27,-4.81393E-007
28,-5.05184E-007
29,-4.2291E-007
30,-4.2406E-007
