Injection,Q
1,-4.1864E-006
2,-4.50928E-006
3,-4.4768E-006
4,-4.46245E-006
5,-4.46294E-006
6,-4.55279E-006
7,-4.56027E-006
8,-4.57764E-006
9,-4.61242E-006
10,-4.57673E-006
11,-4.51757E-006
12,-4.49019E-006
13,-4.49138E-006
14,-4.38003E-006
15,-4.34703E-006
16,-4.19279E-006
17,-3.75979E-006
18,-2.6741E-006
19,-1.49961E-006
20,-7.75184E-007
21,-6.2652E-007
22,-4.88477E-007
23,-4.29401E-007
24,-4.36147E-007
25,-3.45081E-007
26,-4.21669E-007
27,-3.28065E-007
28,-2.91778E-007
29,-2.48058E-007
30,-3.14137E-007
