Injection,Q
1,-3.66555E-006
2,-4.06907E-006
3,-4.10146E-006
4,-4.19389E-006
5,-4.26166E-006
6,-4.34763E-006
7,-4.31175E-006
8,-4.25664E-006
9,-4.3055E-006
10,-4.31931E-006
11,-4.30078E-006
12,-4.19286E-006
13,-4.16166E-006
14,-4.16337E-006
15,-4.17208E-006
16,-4.07977E-006
17,-4.03611E-006
18,-3.96928E-006
19,-3.74315E-006
20,-2.54917E-006
21,-1.71576E-006
22,-1.20193E-006
23,-1.0657E-006
24,-8.83728E-007
25,-7.60521E-007
26,-7.49907E-007
27,-6.12856E-007
28,-5.92532E-007
29,-5.52754E-007
30,-5.58275E-007
