Injection,Q
1,-4.87201E-006
2,-5.50192E-006
3,-5.48836E-006
4,-5.43991E-006
5,-5.54426E-006
6,-5.49122E-006
7,-5.43779E-006
8,-5.27166E-006
9,-5.36319E-006
10,-5.26648E-006
11,-5.24575E-006
12,-5.16068E-006
13,-5.10199E-006
14,-4.97981E-006
15,-4.75819E-006
16,-4.54755E-006
17,-3.81783E-006
18,-2.45034E-006
19,-1.41645E-006
20,-8.38249E-007
21,-6.97064E-007
22,-5.68832E-007
23,-5.36189E-007
24,-4.87485E-007
25,-4.6952E-007
26,-3.79026E-007
27,-3.21907E-007
28,-3.31371E-007
29,-3.68306E-007
30,-2.74455E-007
