Injection,Q
1,-4.79E-006
2,-5.18666E-006
3,-5.20878E-006
4,-5.21475E-006
5,-5.12794E-006
6,-5.06951E-006
7,-5.02064E-006
8,-4.96801E-006
9,-4.76429E-006
10,-4.74391E-006
11,-4.65998E-006
12,-4.52807E-006
13,-4.33091E-006
14,-4.19934E-006
15,-3.90249E-006
16,-3.48134E-006
17,-3.01458E-006
18,-2.3309E-006
19,-1.71107E-006
20,-1.19866E-006
21,-8.6495E-007
22,-6.30138E-007
23,-5.43614E-007
24,-4.70808E-007
25,-4.28988E-007
26,-3.94658E-007
27,-3.77217E-007
28,-3.43224E-007
29,-2.95723E-007
30,-2.99586E-007
